Order_ID,Date,Region,Category,Segment,Sales,Profit
1001,2025-01-03,South,Electronics,Consumer,15200.0,3100.0
1002,2025-01-05,West,Fashion,Corporate,8200.0,1250.0
1003,2025-01-12,North,Grocery,Consumer,5400.0,760.0
1004,2025-02-02,East,Electronics,Home Office,9800.0,2100.0
1005,2025-02-11,South,Furniture,Corporate,11200.0,1650.0
1006,2025-02-19,South,Electronics,Consumer,22400.0,4700.0
1007,2025-03-04,West,Fashion,Consumer,12800.0,2100.0
1008,2025-03-14,North,Electronics,Corporate,27600.0,5400.0
1009,2025-03-20,East,Grocery,Consumer,7600.0,880.0
1010,2025-04-06,South,Electronics,Consumer,31500.0,6900.0
1011,2025-04-15,West,Furniture,Corporate,18800.0,2900.0
1012,2025-04-22,North,Fashion,Home Office,10400.0,1500.0
1013,2025-05-08,South,Fashion,Consumer,22200.0,3200.0
1014,2025-05-16,West,Electronics,Corporate,35200.0,7500.0
1015,2025-05-24,East,Furniture,Home Office,14400.0,2100.0
1016,2025-06-02,South,Electronics,Consumer,41200.0,9100.0
1017,2025-06-10,West,Fashion,Corporate,25400.0,3900.0
1018,2025-06-20,North,Electronics,Consumer,38600.0,8200.0
1019,2025-06-25,East,Grocery,Home Office,11200.0,1600.0
1020,2025-06-26,South,Furniture,Corporate,19800.0,3100.0
1020,2025-06-26,South,Furniture,Corporate,19800.0,3100.0
1021,2025-05-27,West,Electronics,Consumer,,2500.0
1022,2025-04-27,East,Fashion,Corporate,9200.0,
